acronym	ontology_name	acceptance_score	match_count	coverage	names	class_counts	number_of_releases	first_release_year	last_release_year	overlap
CRISP	Computer Retrieval of Information on Scientific Projects Thesaurus	0.5	49	0.0962671905697446	occupational activity#dental health#diet#drinking alcohol#dietary fiber#dietary mineral#sanitation#physical fitness#dietary carbohydrate#cosmetic surgery#ionizing radiation#dietary fat#REM sleep#psychotherapy#sleep#dioxin#CBT#education#nutrition#malnutrition#smoking#housing#employment#radiation#urban area#sports#income#meditation#food#gambling#paradoxical sleep#tobacco#salary#smoking tobacco#food chain contamination#rapid eye movement sleep#plastic surgery#leisure#literacy#dental implant#smokeless tobacco#vitamin#food additive#social status#aerobic exercise#social environment#dream#electromagnetic radiation#oral health	9039	22	2013	2023	0.005420953645314747
ONTOAD	Bilingual Ontology of Alzheimer's Disease and Related Diseases	0.0	56	0.1100196463654224	dental health#poor nutrition#diet#drinking alcohol#physical activities#dietary mineral#cognitive behavioral therapy#tobacco use#recreational drug use#micronutrient#calorie#carbs#physical exercise#developed country#dietary fat#mineral supplement#psychotherapy#active sleep#occupational exposure#CBT#environmental factors#education#nutrition#malnutrition#smoking#beverages#environmental risk factors#pesticide exposure#radiation#physical activity#betting#developing country#sports#eating behavior#food#paradoxical sleep#tobacco#household activity#social context#phytochemical#caloric intake#toxic chemical#rapid eye movement sleep#drug use#leisure#vitamin#education level#social status#aerobic exercise#urban environment#environmental risk#alcohol use#vitamin intake#social environment#occupational activity#oral health	5899	2	2013	2013	0.009493134429564332
OLAM	Ontology of Laboratory Animal Medicine	0.0	1	0.0019646365422396855	sanitation	209	6	2019	2021	0.0
OPMI	Ontology of Precision Medicine and Investigation	0.0	9	0.01768172888015717	household income#socioeconomic status#radiation#employment status#urban area#education level#income#socioeconomic factors#sanitation	3149	26	2018	2022	0.0028580501746586218
PDRO	The Prescription of Drugs Ontology	0.0	17	0.03339882121807466	household income#energy#xenobiotics#radiation#socioeconomic status#employment status#urban area#vitamin#macronutrient#food additive#socioeconomic factors#education level#income#sanitation#toxic agent#micronutrient#calorie	691364	9	2016	2020	2.458907319443882e-05
KTAO	Kidney Tissue Atlas Ontology	0.0	19	0.03732809430255403	socioeconomic status#radiation exposure#macronutrient#socioeconomic factors#sanitation#micronutrient#employment status#malnutrition#household income#radiation#urban area#income#food#exposure to radiation#vitamin#food additive#education level#toxic agent#electromagnetic radiation	11040	19	2018	2023	0.0017210144927536232
GFF-M4M	GoFair M4M	0.0	6	0.011787819253438114	employment status#physical exercise#income#education level#alcohol consumption#personal hygiene	10	32	2023	2024	0.0
GALEN	Galen Ontology	0.0	11	0.021611001964636542	energy#radiation#bedtime#vitamin#food#tobacco#cleanliness#dream#calorie#malnutrition#smoking	23141	1	2007	2007	0.0004753467870878527
DERMLEX	Dermatology Lexicon	0.0	6	0.011787819253438114	non-ionizing radiation exposure#vitamin#meditation#psychotherapy#cosmetic surgery#nutrition	6106	1	2009	2009	0.000982640026203734
RCTV2	Read Clinical Terminology Version 2	0.0	7	0.0137524557956778	plastic surgery#cognitive-behaviour therapy#alcohol consumption#fluid intake#exposure to radiation#illicit drug use#physical activity	88854	1	2016	2016	7.878092151169334e-05
HIO	Hearing Impairment Ontology	0.0	5	0.009823182711198428	plastic surgery#socioeconomic status#physical environment#socioeconomic factors#social environment	496	3	2019	2019	0.010080645161290322
MAXO	Medical Action Ontology	0.0	12	0.023575638506876228	plastic surgery#diet#radiation#vitamin#macronutrient#food additive#aerobic exercise#cognitive behavioral therapy#psychotherapy#food#toxic agent#micronutrient	13988	51	2020	2023	0.0008578781812982557
DOVES	Digital medicine Outcomes Value Set (DOVeS) Ontology	0.0	4	0.007858546168958742	plastic surgery#heavy metal toxicity#heavy metal poisoning#malnutrition	27531	1	2023	2023	0.0
OHD	The Oral Health and Disease Ontology	0.0	1	0.0019646365422396855	dental implant	2914	5	2016	2023	0.0
NDFRT	National Drug File - Reference Terminology	0.5	8	0.015717092337917484	dental implant#vitamin#food#gambling#phytonutrient#phytochemical#occupational activity#malnutrition	36202	13	2008	2018	0.0002209822661731396
PHENX	PhenX Phenotypic Terms	0.0	3	0.005893909626719057	personal care products#environmental exposures#oral health	533	13	2012	2016	0.0
HHEAR	Human Health Exposure Analysis Resource	0.0	18	0.03536345776031434	household income#energy#socioeconomic status#diet#radiation exposure#vitamin#macronutrient#food additive#employment#eating behaviour#chemical exposure#alcohol use#toxic agent#micronutrient#calorie#education#oral health#physical activity	46100	14	2019	2023	0.0003904555314533623
