	acronym	ontology_name	acceptance_score	match_count	coverage	names	class_counts	number_of_releases	first_release_year	last_release_year	overlap	covergae_rank	overlap_rank	rank	url
92	HSPO	Health & Social Person-centric Ontology	0.0	3	0.005893909626719	social context#housing#employment	52	3	2023	2023	0.0	62.0	101.0	62.0	https://bioportal.bioontology.org/ontologies/HSPO
93	OM	Ontology of units of Measure	0.0	1	0.0019646365422396	energy	814	24	2020	2023	0.0	101.0	62.0	62.0	https://bioportal.bioontology.org/ontologies/OM
94	CDNO	Compositional Dietary Nutrition Ontology	0.0	1	0.0019646365422396	dietary fibre	2060	9	2022	2022	0.0	100.0	63.0	63.0	https://bioportal.bioontology.org/ontologies/CDNO
96	CPT	CPT - Current Procedural Terminology	0.0	3	0.005893909626719	food#vitamin#occupational activity	14403	3	2020	2020	0.0	64.0	99.0	64.0	https://bioportal.bioontology.org/ontologies/CPT
101	HGNC-NR	HGNC New Releases Ontology	0.0	2	0.0039292730844793	CBT#dream	48897	8	2021	2023	0.0	66.0	97.0	66.0	https://bioportal.bioontology.org/ontologies/HGNC-NR
103	PSO_2	PatientSafetyOntologyRevisted	0.0	1	0.0019646365422396	nutrition	291	3	2020	2020	0.0	96.0	67.0	67.0	https://bioportal.bioontology.org/ontologies/PSO_2
104	PESONT	Preposition_enabled Spatial Ontology	0.0	1	0.0019646365422396	nutrition	160	1	2021	2021	0.0	95.0	68.0	68.0	https://bioportal.bioontology.org/ontologies/PESONT
107	PINO	Pregnancy Information Needs Ontology	0.0	2	0.0039292730844793	sleep#smoking	267	2	2022	2022	0.0	69.0	73.0	69.0	https://bioportal.bioontology.org/ontologies/PINO
108	HENEGEO	Head and Neck Cancer - Clinical and Gene Ontology	0.0	2	0.0039292730844793	CBT#dream	29996	1	2023	2023	0.0	70.0	72.0	70.0	https://bioportal.bioontology.org/ontologies/HENEGEO
109	ECOSIM	ecosim ontology	0.0	2	0.0039292730844793	energy#radiation	1684	1	2023	2023	0.0	72.0	70.0	70.0	https://bioportal.bioontology.org/ontologies/ECOSIM
110	CCF	Human Reference Atlas Common Coordinate Framework Ontology	0.0	1	0.0019646365422396	CBT	9265	15	2020	2023	0.0	111.0	111.0	111.0	https://bioportal.bioontology.org/ontologies/CCF
